No.,Headline,Date
1,Syrian presidency announces ceasefire after deadly sectarian clashes in south,2025-07-19
2,Trump sues Murdoch and Wall Street Journal for $10bn over Epstein article,2025-07-19
3,Thousands of Afghans won't be compensated by UK for data breach,2025-07-19
4,Is this the death of the late night US chat show?,2025-07-19
5,"Several critically injured in LA after vehicle driven into crowd, emergency services say",2025-07-19
6,Why Prada – and other luxury brands – keep getting India wrong,2025-07-19
7,Why the Epstein case looms large in MAGA world,2025-07-19
8,US tech CEO suspended after Coldplay concert embrace goes viral,2025-07-19
9,'The village will die' - Italy looks for answers to decline in number of babies,2025-07-19
10,"Sylvanian Families' legal battle over TikTok sex, drugs and murder videos",2025-07-19
